"barcode","trip_id","pickup_customer_ref","delivery_customer_ref","category","weight"
"109138126","73913","264","112","A","3974"
"109191543","73634","34","43","A","593"
"109201937","74056","146","283","A","3531"
"109237740","73010","152","165","A","757"
"109274400","73029","209","171","A","283"
"109444123","72975","93","166","A","4945"
"109475031","73130","96","204","A","2030"
"109710791","73108","225","116","A","296"
"109804762","73327","46","68","A","2109"
"109857143","73788","124","205","A","235"
"109958321","73029","171","271","A","4619"
"109962739","73443","38","136","A","3102"
"109988305","73658","101","2","A","791"
"109994740","73605","208","197","A","1880"
"110042853","73625","260","144","A","3981"
"110079544","74103","192","251","A","279"
"110270015","74026","209","153","A","189"
"110392274","73389","54","128","A","4704"
"110570142","73279","76","291","A","4854"
"110581267","73569","155","44","A","2170"
"110614872","72957","98","22","A","3852"
"110691104","73918","277","62","A","1275"
"110779555","73340","261","176","A","4664"
"110798788","74043","212","79","A","3944"
"110864685","73214","121","169","A","2453"
"110921132","73294","169","270","A","2086"
"110944584","73306","45","291","A","1018"
"111059262","73654","234","11","A","1172"
"111239353","73634","43","248","A","3030"
"111284655","73474","66","170","A","4909"
"111285475","73196","89","110","A","1895"
"111354830","73767","246","18","A","2853"
"111447528","73217","91","222","A","4747"
"111551296","73435","44","102","A","4875"
"111602228","74086","291","65","A","3967"
"111626188","73887","209","297","A","3569"
"111674369","73959","55","91","A","1098"
"111686007","72994","42","187","A","4149"
"111714936","73454","44","111","A","4861"
"111755909","73336","189","14","A","3713"
"111777406","74043","77","298","A","4304"
"111873824","73223","273","91","A","733"
"111915810","73729","275","231","A","1982"
"111928290","73778","220","89","A","4688"
"112056573","73877","91","250","A","2400"
"112137890","73088","37","243","A","2908"
"112279671","72976","69","100","A","3504"
"112343214","73122","213","204","A","2510"
"112433629","73143","172","43","A","4068"
"112445743","73278","76","298","A","2892"
"112486803","72977","97","282","A","2797"
"112660928","73226","71","65","A","4154"
"112701211","73820","256","54","A","523"
"112727590","73141","102","70","A","4043"
"112742232","73856","73","229","A","630"
"112813322","73542","191","207","A","2951"
"112884786","73538","10","239","A","4585"
"112893911","73149","88","150","A","2352"
"112976253","73124","216","97","A","2023"
"113026151","72971","144","218","A","3308"
"113029209","74024","193","285","A","4292"
"113072247","72996","136","160","A","2949"
"113103526","73934","213","130","A","510"
"113193240","73125","101","112","A","1432"
"113286812","73578","171","40","A","3939"
"113309732","73236","33","221","A","670"
"113348202","73237","70","146","A","1677"
"113369949","73477","205","116","A","2169"
"113414690","73878","206","65","A","3738"
"113419737","74040","246","154","A","1392"
"113492368","73179","35","12","A","1696"
"113510058","73565","259","23","A","1992"
"113551551","74054","71","91","A","252"
"113590052","73500","42","254","A","2437"
"113613711","73159","176","255","A","2244"
"113613895","73472","224","88","A","1543"
"113685598","73953","90","83","A","3700"
"113736671","73847","282","280","A","1399"
"113757417","73445","242","76","A","251"
"113809255","73967","228","40","A","1217"
"113855796","73316","11","22","A","3667"
"113909135","73204","101","6","A","615"
"113963714","74016","118","84","A","3321"
"114007330","73043","156","251","A","2682"
"114027425","74039","81","152","A","1107"
"114084206","73981","122","284","A","3807"
"114156892","73564","152","164","A","4441"
"114255651","73574","19","206","A","3598"
"114325510","73338","180","278","A","2089"
"114330881","74056","60","146","A","1197"
"114425783","73918","277","244","A","4345"
"114434816","74099","248","223","A","4577"
"114491644","73693","4","156","A","4617"
"114492927","73922","64","1","A","1425"
"114561715","73048","134","170","A","3774"
"114602292","73576","220","130","A","4707"
"114614196","73681","77","12","A","4046"
"114661603","73120","74","165","A","2209"
"114668880","73136","30","10","A","2955"
"114678062","73311","93","234","A","3582"
"114715074","73418","111","285","A","303"
"114778171","73239","202","278","A","3753"
"114780285","73308","171","161","A","4589"
"114800293","73355","98","243","A","3862"
"114924015","73843","259","9","A","347"
"115070852","73069","148","170","A","1639"
"115079341","73820","111","256","A","1218"
"115139428","73265","47","275","A","1957"
"115192771","72955","83","56","A","4613"
"115219620","73363","145","174","A","3818"
"115298051","73398","67","72","A","1594"
"115335707","73595","245","182","A","2323"
"115380209","73993","275","215","A","4066"
"115381344","72945","22","31","A","2551"
"115418565","73850","261","10","A","1962"
"115421555","73609","228","145","A","2025"
"115468871","73681","108","293","A","4481"
"115494932","73039","193","113","A","3661"
"115552207","73250","232","158","A","107"
"115565995","73712","243","182","A","4156"
"115728204","73615","100","47","A","2290"
"115733398","73195","261","132","A","2337"
"115754893","74113","181","78","C","3204"
"115774752","73621","39","236","A","615"
"115794163","73420","269","64","A","3313"
"115874699","73605","208","197","A","3465"
"115888601","73798","166","237","A","3434"
"115910590","74058","24","91","A","4264"
"115981053","73887","297","209","A","912"
"116006371","74075","32","119","A","1500"
"116022431","73567","121","167","A","2762"
"116040651","73748","92","115","A","1649"
"116066729","73319","64","14","A","1479"
"116074487","73426","101","249","A","619"
"116093516","73258","219","145","A","2566"
"116116008","73006","101","219","A","2161"
"116117160","73839","136","298","A","4533"
"116120078","73428","46","162","A","2777"
"116277565","73373","155","56","A","1819"
"116324528","72971","58","5","A","3365"
"116373518","73052","97","280","A","1823"
"116406282","73502","8","207","A","1536"
"116407886","73194","8","117","A","1318"
"116592131","73647","40","176","A","884"
"116723771","73223","256","227","A","2564"
"116762741","73524","26","30","A","2144"
"116958609","73124","77","216","A","941"
"117090548","72965","16","296","A","4811"
"117099674","72981","243","86","A","3285"
"117135374","72965","16","296","A","4317"
"117147161","73979","299","111","A","371"
"117199755","73842","78","215","A","4679"
"117206395","73537","73","111","A","2137"
"117242020","73998","7","226","A","1759"
"117264518","73854","233","11","A","2534"
"117307316","73276","133","119","A","3895"
"117311943","73965","115","179","A","3689"
"117360908","73890","133","238","A","4119"
"117379002","73363","129","61","A","4750"
"117387055","73492","289","110","A","2186"
"117471384","73670","105","53","A","710"
"117472449","74113","275","181","A","1880"
"117481656","74003","220","270","A","243"
"117545779","73029","46","171","A","4480"
"117566148","73282","213","142","A","2938"
"117596195","73744","108","22","A","677"
"117684237","73440","180","235","A","4787"
"117702932","73633","241","220","A","2397"
"117735422","73753","37","97","A","4133"
"117788555","73390","102","262","A","4494"
"117794784","73931","7","147","A","1808"
"117878614","73170","152","159","A","2501"
"117950813","73906","225","33","A","3202"
"117958831","73335","173","56","A","4847"
"118025972","74027","40","155","A","4683"
"118043955","73042","91","210","A","2608"
"118055860","73533","288","188","A","4368"
"118071510","73254","10","259","A","1756"
"118080521","74066","43","14","A","2287"
"118126725","73427","155","57","A","4232"
"118224736","73117","42","122","A","2335"
"118353852","73898","119","71","A","4794"
"118410309","72982","299","12","A","2264"
"118461624","73648","84","179","A","1445"
"118466168","73377","97","69","A","4583"
"118564994","73762","298","142","A","4378"
"118610088","73904","142","37","A","4391"
"118718658","72944","52","115","B","1992"
"118766974","73634","165","98","A","4126"
"118767238","73321","249","207","A","1144"
"118808122","73429","24","43","A","779"
"118833968","73247","42","129","A","3911"
"118853599","73010","285","191","A","1241"
"118869488","73455","65","189","A","1618"
"118874336","73827","205","120","A","3170"
"118943781","73742","77","254","A","153"
"118949365","73435","298","102","A","3266"
"118998317","73966","22","186","A","1495"
"118999586","73589","99","133","A","3487"
"119018834","72942","185","95","A","3712"
"119068718","73720","160","72","A","2036"
"119076783","73787","264","172","A","1201"
"119102372","73421","44","145","A","1088"
"119185812","72961","284","263","A","986"
"119237215","73712","133","281","A","681"
"119254482","73585","122","6","A","4375"
"119325700","74056","270","146","A","2489"
"119333301","72946","26","70","A","3391"
"119361824","73970","7","165","A","1138"
"119386889","73427","289","155","A","4765"
"119407778","73079","27","218","A","4491"
"119408625","73805","237","262","A","1812"
"119428190","73502","18","265","A","3284"
"119454636","73324","17","271","A","1498"
"119566823","73736","113","296","A","1105"
"119605260","73242","284","118","A","2117"
"119606625","74103","252","114","A","471"
"119678024","73433","160","249","A","3794"
"119717680","74079","270","79","A","4268"
"119836243","73179","264","35","A","1979"
"120001306","73503","29","237","A","4121"
"120041163","74030","230","192","A","3660"
"120043391","73891","50","13","A","3025"
"120091285","73418","42","285","A","1237"
"120194343","73365","73","6","A","450"
"120204358","73505","53","8","A","3037"
"120269123","73586","275","118","A","4481"
"120309877","73088","37","203","A","2311"
"120883108","73561","298","272","A","1750"
"120906897","73787","131","141","A","4974"
"120907786","73469","203","31","A","4803"
"120944914","73046","8","61","A","928"
"120949187","73855","269","75","A","363"
"121030215","73883","161","165","A","4730"
"121103849","73544","199","46","A","4895"
"121110279","73997","278","237","A","341"
"121150805","73364","168","88","A","3961"
"121159786","73355","243","98","A","3630"
"121168449","73640","259","287","A","3695"
"121202382","73597","48","196","A","3869"
"121270497","73062","181","131","C","3309"
"121332786","73135","249","46","A","1850"
"121340952","73036","78","53","A","4574"
"121496763","73306","5","224","A","2501"
"121556970","73518","189","111","A","2674"
"121627497","73006","219","142","A","3013"
"121649184","73176","105","199","A","4431"
"121805381","73874","268","14","A","3987"
"121907009","73016","256","60","A","467"
"122024602","73324","66","155","A","3532"
"122131799","73655","118","46","A","2014"
"122199185","73747","184","190","A","1051"
"122221425","73284","95","274","A","4679"
"122272624","73999","129","60","A","3826"
"122327776","73492","103","289","B","2422"
"122351769","73837","43","22","A","1514"
"122436136","73791","298","189","A","2591"
"122521209","73329","42","83","A","1837"
"122523365","73741","122","251","A","1444"
"122527526","73676","133","114","A","1088"
"122546803","73413","218","187","A","2610"
"122673490","73670","53","105","A","2568"
"122736360","73941","69","141","A","4476"
"123023211","73583","233","154","A","3668"
"123087395","73136","88","195","A","3048"
"123102815","73845","26","201","A","901"
"123186392","73204","121","101","A","3797"
"123310791","73593","78","148","A","2566"
"123446418","73788","124","3","A","3356"
"123554621","73443","240","13","A","4929"
"123570664","73238","291","101","A","3462"
"123632495","73237","255","45","A","4642"
"123706105","73751","70","56","A","132"
"123910727","73507","289","130","A","2271"
"123915058","73488","204","154","A","3201"
"123965783","73772","163","244","A","1872"
"124016357","73891","186","144","A","1117"
"124021046","74088","21","66","A","2891"
"124089157","73632","45","234","A","2735"
"124133185","72956","13","291","A","445"
"124165569","74046","41","110","A","2061"
"124171889","73633","144","52","A","127"
"124251392","73477","290","98","A","2132"
"124266623","73713","93","2","A","3243"
"124295816","73451","51","243","A","631"
"124486405","73540","182","151","A","330"
"124507276","73571","213","264","A","1695"
"124720282","73045","49","275","A","2895"
"124822817","73258","167","163","A","1734"
"124828123","73266","11","29","A","3924"
"124897679","73659","257","271","A","2603"
"124928061","73019","254","165","A","1144"
"124930432","73792","73","84","A","1917"
"124980541","72942","111","218","A","4256"
"125001273","73086","128","36","A","995"
"125118264","73099","172","51","A","1665"
"125120467","73891","50","13","A","1580"
"125157293","73484","41","263","A","2876"
"125159967","74094","207","43","A","2704"
"125160237","73845","26","201","A","3283"
"125183764","74050","158","187","A","1281"
"125253635","73624","280","71","A","1049"
"125361656","73165","3","168","A","4275"
"125515072","72999","205","89","A","2981"
"125525788","73636","177","138","A","3060"
"125593952","74035","155","278","A","3187"
"125619409","73829","274","75","A","3097"
"125804236","73410","234","59","A","1679"
"125911417","73796","84","233","A","3526"
"125919583","73748","294","61","A","3865"
"125922216","73393","119","92","A","1710"
"125965415","73657","201","72","A","2285"
"126037518","74004","162","6","A","1985"
"126090819","73186","227","158","A","2934"
"126108993","73820","256","54","A","1813"
"126117192","73991","145","88","A","4663"
"126315707","73751","140","281","A","4172"
"126366350","73312","26","254","A","2276"
"126370958","73850","195","119","A","3352"
"126401919","73489","250","266","A","1133"
"126407120","73485","75","50","A","1183"
"126452201","74088","66","21","A","1471"
"126456789","73637","294","39","A","291"
"126485090","72990","87","49","A","2725"
"126575236","74053","199","234","A","742"
"126631042","74018","200","120","A","4169"
"126674904","73809","93","275","A","1718"
"126679386","73594","197","193","A","2652"
"126722570","73758","201","179","A","1915"
"126791136","73084","116","12","A","4672"
"126837899","73368","165","36","A","3134"
"126849247","73303","155","65","A","2729"
"126973314","73436","10","54","A","1242"
"127001903","73944","264","231","A","1541"
"127020841","73451","203","60","A","390"
"127074590","73472","209","7","A","369"
"127143932","73054","95","234","A","748"
"127187652","73119","135","111","A","2730"
"127237814","73558","15","108","A","4256"
"127253358","73836","291","78","A","4118"
"127255282","73596","93","50","A","2532"
"127409992","72972","130","136","A","571"
"127446037","74067","102","26","A","1382"
"127487402","73484","198","263","A","1164"
"127576523","73580","199","158","A","1837"
"127609779","73547","132","95","A","772"
"127630898","73247","42","16","A","1461"
"127669288","73333","11","294","A","183"
"127685210","73254","218","57","A","939"
"127721572","73279","287","256","A","2198"
"127725975","73217","62","51","A","335"
"127755722","73188","50","9","A","4756"
"127867302","72990","49","243","A","4039"
"127918440","73682","62","169","A","4416"
"127988655","73772","143","163","A","858"
"128007117","73055","49","175","A","1519"
"128078875","73538","239","79","A","482"
"128131423","73665","68","89","A","293"
"128149895","73342","186","218","A","3289"
"128161737","73679","232","115","A","2274"
"128166165","74073","100","200","A","534"
"128199578","73314","10","81","A","292"
"128357470","72978","149","294","A","2652"
"128397644","73669","206","107","A","3531"
"128537519","73147","28","168","A","4323"
"128541027","73956","78","260","A","2135"
"128545309","73094","205","100","A","145"
"128626795","73406","107","174","A","429"
"128690753","73367","141","64","A","681"
"128692115","73624","43","280","A","421"
"128713730","73587","160","22","A","3933"
"128761552","73571","80","167","A","2560"
"128802238","73551","8","63","A","3624"
"128831718","73964","67","99","A","3195"
"128897982","73080","7","160","A","1518"
"128965079","73135","125","5","A","305"
"128974254","73876","176","40","A","697"
"128996479","73250","194","289","A","1871"
"129029248","73391","155","92","A","466"
"129032815","74063","33","165","A","1327"
"129132208","73930","118","254","A","3432"
"129177884","73883","8","122","A","4918"
"129199034","73090","292","47","A","3492"
"129231645","74058","24","133","A","4921"
"129462599","74026","209","128","A","4387"
"129503722","73527","27","108","A","3439"
"129557351","74091","246","17","A","3811"
"129652449","73887","297","209","A","2226"
"129652830","73392","245","149","A","734"
"129779006","73601","221","97","A","2266"
"129866253","73189","201","111","A","2375"
"129890179","73642","45","299","A","2185"
"130045772","73675","203","80","A","610"
"130091012","73580","20","158","A","2926"
"130150253","73026","279","14","A","1190"
"130167501","73804","50","220","A","4907"
"130286507","73264","83","139","A","3094"
"130347461","72963","242","87","A","3671"
"130371837","73788","84","205","A","3160"
"130422620","73126","126","275","A","4667"
"130448366","74070","180","178","A","2577"
"130488561","73469","80","203","A","2416"
"130506531","73228","135","294","A","4650"
"130626531","74079","58","79","A","2846"
"130630080","73704","298","39","A","3924"
"130664611","73348","17","242","A","4530"
"130686830","73284","274","95","A","2678"
"130699270","73835","97","149","A","4703"
"130752068","73291","64","220","A","3909"
"130834672","73875","248","218","A","636"
"131001094","73881","168","2","A","861"
"131097121","74086","207","291","A","3194"
"131169124","74034","67","43","A","1945"
"131214672","73098","204","286","A","1704"
"131233160","74021","140","284","A","2828"
"131288366","73325","130","89","A","1344"
"131314860","73284","95","41","A","520"
"131412229","73263","170","69","A","711"
"131621053","73539","242","10","A","1426"
"131792056","73792","88","197","A","2979"
"131831790","73006","197","101","A","4439"
"131882085","73632","156","45","A","1357"
"131987405","73542","207","49","A","1382"
"132001541","73389","104","122","A","146"
"132164346","73352","90","109","A","3900"
"132201861","73641","108","60","A","3697"
"132207774","73588","189","160","A","2179"
"132329170","73157","128","125","A","1948"
"132371349","72975","166","274","A","4001"
"132403271","73194","225","34","A","915"
"132432604","72974","124","296","A","4553"
"132520970","73075","211","15","A","2830"
"132583890","73885","262","272","A","1445"
"132700962","72980","297","223","A","3818"
"132710208","74046","135","17","A","1099"
"132905002","73656","276","77","A","476"
"132940811","73898","7","226","A","4736"
"133025981","73840","64","79","A","2150"
"133048018","73237","207","45","A","215"
"133132755","73729","231","40","A","2681"
"133180377","73893","121","110","A","2083"
"133193527","73491","131","94","A","4308"
"133213285","73737","195","277","A","1563"
"133321704","73228","171","138","A","4588"
"133332070","73134","263","21","A","1158"
"133344800","73110","38","294","A","4106"
"133349058","73882","194","229","A","3589"
"133367600","73563","21","116","A","2051"
"133398168","73157","200","25","A","3151"
"133411772","73982","230","47","A","1053"
"133418072","73699","91","204","A","3376"
"133455398","73501","123","15","A","3573"
"133536467","73876","37","40","A","4617"
"133640584","73813","15","46","A","4271"
"133781685","73569","44","155","A","2241"
"133811100","73453","86","290","A","2969"
"133905423","73230","47","253","A","3623"
"133946115","73294","81","169","A","624"
"133974740","73174","215","195","A","2470"
"134080441","73765","126","167","A","1561"
"134082204","74007","16","80","A","4997"
"134100064","73602","120","226","A","3642"
"134177666","74053","199","263","A","2692"
"134190742","73408","207","289","A","2556"
"134193942","73646","102","145","A","1394"
"134207615","73034","264","241","A","4964"
"134219108","73145","262","64","A","3527"
"134281989","73715","268","4","A","2756"
"134369808","74025","25","227","A","4606"
"134374240","73506","222","208","A","2073"
"134546581","73522","200","23","A","4845"
"134584893","73232","29","126","A","1841"
"134640405","73133","88","232","A","1154"
"134662966","73180","162","259","A","4017"
"134675994","73357","88","231","A","4687"
"134693303","73562","242","113","A","3336"
"134714826","73911","265","124","A","987"
"134732759","73780","123","260","A","2305"
"134747706","73698","62","51","A","4971"
"134754084","74088","238","149","A","4482"
"134855108","73331","106","61","A","3941"
"134966415","74009","207","281","A","4185"
"135272571","73254","57","120","A","2125"
"135352257","73988","129","269","A","1053"
"135412371","74018","200","120","A","3226"
"135426971","73202","143","62","A","980"
"135464994","73102","153","26","A","1459"
"135481744","74070","178","253","A","2777"
"135529869","73921","268","273","A","4726"
"135538056","73496","143","173","A","1651"
"135566072","73902","169","243","A","3895"
"135627874","73355","25","131","A","1676"
"135636284","73263","97","276","A","2695"
"135671129","72984","133","138","A","4465"
"135672187","73186","78","196","A","297"
"135685181","73219","111","9","A","898"
"135699399","72943","147","271","A","1437"
"135700510","73634","98","99","A","1593"
"135786895","72987","50","248","A","2585"
"135815327","73929","203","8","A","523"
"135867125","73620","45","256","A","4263"
"135991087","73488","204","154","A","4389"
"136007406","73755","176","235","A","318"
"136063633","73019","165","254","A","4552"
"136068805","73423","60","160","A","2942"
"136101649","72989","186","103","A","1703"
"136132837","73234","221","1","A","3746"
"136181914","73970","7","215","A","3116"
"136200426","73190","163","46","A","4029"
"136247883","73638","133","90","A","4612"
"136254351","73151","227","206","A","1629"
"136293888","73719","209","9","A","3890"
"136364406","73162","161","22","A","4200"
"136412134","73303","65","33","A","3596"
"136426147","73974","85","33","A","4931"
"136469667","73800","118","275","A","3323"
"136528975","73709","202","167","A","1330"
"136569884","73035","281","103","A","1767"
"136642555","73998","76","250","A","4081"
"136654992","73136","17","261","A","4852"
"136729774","73334","151","285","A","3794"
"136828091","73712","182","281","A","4836"
"136847913","73679","174","57","A","4630"
"137007445","73286","63","223","C","2206"
"137079249","73703","29","31","A","4166"
"137167391","73568","204","126","A","4245"
"137269732","73412","268","146","A","2620"
"137310286","72987","273","126","A","994"
"137314686","73026","110","131","A","1194"
"137379056","73585","122","84","A","3795"
"137431388","73670","53","105","A","2026"
"137451613","73582","184","35","A","4801"
"137495750","74043","297","77","A","2319"
"137526616","73437","36","67","A","1063"
"137634558","74044","128","137","A","4977"
"137637015","73828","59","267","A","3494"
"137690625","73254","259","218","A","3136"
"137695164","73767","211","246","A","2093"
"137742867","73029","130","177","A","4196"
"137813778","73120","175","165","A","4074"
"137848315","73075","211","15","A","2173"
"137870282","73001","278","117","A","3884"
"137962638","73553","167","231","A","1126"
"137969748","74048","134","277","A","1725"
"137995923","73787","264","254","A","1634"
"138000856","73612","79","10","A","4981"
"138118118","73066","110","45","A","1646"
"138211282","73793","99","90","A","4371"
"138216784","73632","47","156","A","1230"
"138325869","72972","136","130","A","1848"
"138368495","73601","97","84","A","4811"
"138385685","73760","107","171","A","4842"
"138417795","74016","91","292","A","1842"
"138456883","73818","5","183","A","3600"
"138479570","73753","37","97","A","2503"
"138498032","73470","29","96","A","3923"
"138648546","73336","98","113","A","640"
"138735058","72977","99","282","A","4859"
"138768759","73597","285","299","A","2823"
"138768908","74028","296","123","A","1866"
"138801053","73894","1","50","A","2706"
"138808422","73944","246","95","A","513"
"138828918","73365","17","138","A","3971"
"138853586","73818","140","250","A","353"
"138864718","73706","233","291","A","3114"
"138872948","73866","99","238","A","1085"
"139154567","73585","297","65","A","4322"
"139258449","73133","88","232","A","4578"
"139273814","73253","236","142","A","1453"
"139297412","73535","56","31","A","1885"
"139327227","73349","91","161","A","4055"
"139415242","73382","181","200","C","4100"
"139463256","73885","148","104","A","3475"
"139547279","72990","94","49","A","3842"
"139611587","73607","23","136","A","938"
"139644445","73700","144","78","A","2545"
"139763734","73742","254","77","A","2146"
"139934053","73293","156","149","A","2120"
"139942772","74086","196","15","A","2745"
"139963419","73756","234","285","A","4011"
"140002822","74000","123","22","A","685"
"140046714","73937","239","46","A","3135"
"140090203","73171","93","50","A","4013"
"140166889","73371","167","69","A","1441"
"140171175","73898","115","134","A","4752"
"140193838","73744","22","274","A","3219"
"140376237","73600","6","234","A","4404"
"140503356","73550","153","141","A","1623"
"140569677","73086","246","262","A","4750"
"140593684","73252","79","16","A","1002"
"140618231","73639","231","199","A","4071"
"140635066","72966","271","237","A","3999"
"140648536","73999","60","176","A","410"
"140672861","73969","47","247","A","1612"
"140856768","73448","293","180","A","109"
"140874183","74093","46","53","A","1051"
"140960891","73080","7","296","A","2655"
"140965879","72998","183","219","A","2830"
"141075928","73155","278","55","A","2125"
"141170381","73530","25","99","A","2800"
"141173911","73906","104","19","A","2662"
"141182109","74064","239","151","A","2052"
"141234668","73782","106","102","A","755"
"141301848","72997","18","198","A","3954"
"141318743","73859","266","118","A","3763"
"141342067","73517","183","11","A","1505"
"141356439","73814","90","134","A","1826"
"141374091","72989","267","117","A","4843"
"141408914","73444","26","195","A","2855"
"141439615","73920","131","80","A","2759"
"141447862","73533","188","173","A","1163"
"141511932","73905","177","281","A","2688"
"141535570","73627","203","167","A","478"
"141567236","72950","171","270","A","3628"
"141577999","73171","255","181","A","135"
"141633321","73570","201","200","A","2971"
"141672161","73652","217","51","A","4799"
"141690631","73541","182","254","A","1126"
"141727348","73229","95","166","A","370"
"142010878","73995","104","224","A","309"
"142017636","73202","25","188","A","1917"
"142068777","72987","273","126","A","1044"
"142080722","73987","130","157","A","1475"
"142098623","73043","251","37","A","938"
